姓名,號次,性別,出生年次,推薦政黨,得票數,得票率,當選註記,是否現任
李全教,1,男,1960,中國國民黨,11726,53.06%,*,否
李合同,8,男,1957,無黨籍及未經政黨推薦,5197,9.94%,*,否
李成義,12,男,1960,無黨籍及未經政黨推薦,1372,9.75%,*,否
李余典,16,男,1958,民主進步黨,26794,9.19%,*,是
李妍慧,7,女,1976,無黨籍及未經政黨推薦,3642,7.55%,*,是
李志偉,4,男,1966,民主進步黨,6745,23.14%,*,否
李坤城,15,男,1973,民主進步黨,26809,9.19%,*,是
李坤煌,8,男,1952,中國國民黨,11869,9.31%,*,是
李忠曆,7,男,1965,無黨籍及未經政黨推薦,4199,5.23%,*,是
李明哲,9,男,1968,中國國民黨,9526,16.26%,*,是
李金梅,2,女,1956,中國國民黨,520,15.75%,*,是
李長生,4,男,1956,中國國民黨,26966,33.13%,*,是
李俊諭,3,男,1958,民主進步黨,16331,24.13%,*,是
李_慧,14,女,1976,無黨籍及未經政黨推薦,6926,12.80%,*,是
李建志,14,男,1969,無黨籍及未經政黨推薦,7426,8.57%,*,是
李建昇,2,男,1960,民主進步黨,8646,9.98%,*,是
李建昌,13,男,1962,民主進步黨,18052,8.24%,*,是
李建智,4,男,1959,中國國民黨,3286,7.34%,*,是
李彥秀,7,女,1971,中國國民黨,25057,11.44%,*,是
李柏坊,2,男,1958,中國國民黨,9726,21.88%,*,否
李柏毅,9,男,1977,民主進步黨,30571,17.37%,*,否
李洲忠,14,男,1962,中國國民黨,6881,10.67%,*,否
李眉蓁,1,女,1979,中國國民黨,15533,8.82%,*,是
李秋旺,12,男,1955,中國國民黨,4294,10.19%,*,是
李倩萍,1,女,1970,民主進步黨,28652,9.83%,*,是
李家興,4,男,1957,中國國民黨,13875,19.38%,*,否
李浩誠,5,男,1973,中國國民黨,10188,15.05%,*,是
李翁月娥,10,女,1958,無黨籍及未經政黨推薦,20340,6.97%,*,是
李退之,6,男,1971,民主進步黨,11937,17.90%,*,是
李健福,10,男,1951,民主進步黨,6060,8.31%,*,是
李國勝,1,男,1964,中國國民黨,6884,12.60%,*,是
李國璋,9,男,1970,中國國民黨,3789,5.88%,*,否
李培元,2,男,1962,無黨籍及未經政黨推薦,10466,15.89%,*,否
李添進,1,男,1966,無黨籍及未經政黨推薦,1589,50.52%,*,是
李清木,3,男,1972,民主進步黨,13339,19.20%,*,否
李清聖,7,男,1965,民主進步黨,7248,7.09%,*,是
李喬如,5,女,1957,民主進步黨,17630,18.48%,*,是
李雅靜,17,女,1977,中國國民黨,19200,10.87%,*,是
李雲強,7,男,1959,中國國民黨,8373,13.67%,*,否
李順進,4,男,1958,無黨團結聯盟,18456,10.14%,*,是
李新,18,男,1953,中國國民黨,22773,7.38%,*,是
李誠智,6,男,1976,中國國民黨,1525,6.16%,*,是
李榮鴻,3,男,1949,中國國民黨,15031,20.08%,*,是
李增全,10,男,1955,中國國民黨,4044,7.86%,*,是
李慶元,22,男,1958,中國國民黨,24348,7.90%,*,是
李慶鋒,16,男,1967,民主進步黨,20274,6.57%,*,是
李曉鐘,12,男,1959,中國國民黨,12563,6.98%,*,否
李錦慧,2,男,1955,中國國民黨,3029,50.71%,*,是
李應文,8,男,1979,中國國民黨,1553,9.52%,*,否
李聰祥,1,男,1959,無黨籍及未經政黨推薦,6473,13.17%,*,是
李鴻鈞,7,男,1966,中國國民黨,12890,16.37%,*,否
李麗華,5,女,1953,中國國民黨,22584,23.75%,*,是
李麗貌,1,女,1955,中國國民黨,2144,15.24%,*,是
杜素吟,2,女,1956,無黨籍及未經政黨推薦,14462,14.20%,*,是
汪志冰,13,女,1957,中國國民黨,18021,5.89%,*,是
沈佑蓮,1,女,1959,中國國民黨,29190,21.78%,*,是
沈宗隆,4,男,1959,中國國民黨,7822,9.50%,*,是
沈英章,9,男,1954,民主進步黨,15904,14.52%,*,否
沈發惠,6,男,1966,民主進步黨,26532,24.50%,*,是
沈德茂,2,男,1956,無黨籍及未經政黨推薦,6425,30.49%,*,是
阮厚爵,2,男,1970,中國國民黨,13860,21.47%,*,是
阮昭雄,17,男,1970,民主進步黨,20727,6.72%,*,是
周子傑,4,男,1973,中國國民黨,1922,11.78%,*,是
周玉琴,2,女,1958,中國國民黨,14468,20.21%,*,否
周玉滿,4,女,1962,無黨籍及未經政黨推薦,7979,16.24%,*,否
周江杰,4,男,1980,綠黨,4402,9.96%,*,否
周秀月,7,女,1956,民主進步黨,6393,7.38%,*,是
周典論,9,男,1955,無黨籍及未經政黨推薦,10158,12.41%,*,否
周威佑,7,男,1962,民主進步黨,20663,10.61%,*,是
周柏雅,15,男,1959,民主進步黨,17249,5.59%,*,是
周玲妏,8,女,1967,民主進步黨,21350,15.91%,*,是
周勝考,2,男,1956,中國國民黨,25921,9.46%,*,是
周雅玲,1,女,1968,民主進步黨,25503,23.55%,*,是
周瑞國,3,男,1969,中國國民黨,478,36.48%,*,否
周達三,14,男,1966,中國國民黨,3019,6.74%,*,否
周碧雲,4,女,1972,民主進步黨,9479,22.86%,*,是
周鍾_,3,男,1955,中國國民黨,13975,7.94%,*,是
周鍾_,12,男,1955,中國國民黨,16245,8.76%,*,否
官文樹,6,男,1951,無黨籍及未經政黨推薦,7254,12.29%,*,是
林于玲,2,女,1963,中國國民黨,7102,12.02%,*,是
林士昌,7,男,1955,中國國民黨,16919,14.77%,*,是
林士堅,6,男,1970,民主進步黨,11877,12.15%,*,否
林世宗,14,男,1959,民主進步黨,12334,4.03%,*,是
林世賢,1,男,1959,民主進步黨,16483,10.02%,*,否
林本立,4,男,1953,無黨籍及未經政黨推薦,4821,11.43%,*,否
林正峰,2,男,1949,中國國民黨,11215,18.31%,*,否
林永鴻,9,男,1970,民主進步黨,5927,9.19%,*,是
林玉花,1,女,1964,民主進步黨,8975,21.64%,*,是
林全忠,1,男,1954,中國國民黨,11868,34.63%,*,是
林成功,1,男,1962,無黨籍及未經政黨推薦,8378,38.20%,*,否
林汝洲,3,男,1963,中國國民黨,18514,16.17%,*,是
林志展,1,男,1965,無黨籍及未經政黨推薦,15446,37.37%,*,否
林志華,3,男,1965,中國國民黨,10090,26.91%,*,否
林志聰,3,男,1974,民主進步黨,12975,37.86%,*,是
林志鴻,11,男,1977,民主進步黨,3792,7.91%,*,否
林沐惠,3,男,1957,民主進步黨,8018,13.27%,*,否
林秀惠,6,女,1955,民主進步黨,21678,10.54%,*,是
林秀琴,10,女,1953,民主進步黨,7679,13.00%,*,是
林_乙,11,男,1961,無黨籍及未經政黨推薦,11569,9.07%,*,否
林亞相,5,男,1959,民主進步黨,10213,41.00%,*,是
林亞_,6,女,1968,中國國民黨,6627,6.48%,*,是
林宗昆,8,男,1983,中國國民黨,3125,7.41%,*,否
林宗翰,3,男,1969,無黨籍及未經政黨推薦,11104,14.16%,*,否
林宛蓉,5,女,1960,民主進步黨,20195,11.09%,*,是
林宜瑾,10,女,1969,民主進步黨,16659,13.07%,*,是
林岳璋,9,男,1971,無黨籍及未經政黨推薦,7501,8.66%,*,否
林岳賢,13,男,1974,中國國民黨,4431,9.24%,*,是
林庚壬,9,男,1962,中國國民黨,9668,12.33%,*,否
林承勳,13,男,1961,無黨籍及未經政黨推薦,6691,9.38%,*,是
林昆熠,1,男,1968,無黨籍及未經政黨推薦,7105,11.53%,*,否
林明揚,5,男,1963,中國國民黨,487,12.99%,*,否
林明智,6,男,1973,民主進步黨,2997,15.88%,*,否
林明順,9,男,1954,無黨籍及未經政黨推薦,6073,5.88%,*,是
林東成,2,男,1963,無黨籍及未經政黨推薦,5557,30.53%,*,否
林東滿,2,男,1949,中國國民黨,3208,42.88%,*,是
林武忠,13,男,1955,民主進步黨,16348,9.25%,*,是
林芳_,1,女,1962,中國國民黨,5201,8.97%,*,否
林芳如,4,女,1968,民主進步黨,13691,12.50%,*,是
林金結,5,男,1968,中國國民黨,18462,6.47%,*,否
林金龍,3,男,1950,民主進步黨,6705,36.83%,*,否
林亭君,13,女,1984,中國國民黨,17103,8.65%,*,否
林俐玲,6,女,1963,民主進步黨,11075,18.08%,*,否
林保光,15,男,1961,中國國民黨,4280,6.14%,*,是
林保祿,2,男,1957,無黨籍及未經政黨推薦,6388,32.92%,*,是
林奕華,13,女,1968,中國國民黨,37198,12.38%,*,是
林建鴻,1,男,1965,無黨籍及未經政黨推薦,5503,8.35%,*,是
林思銘,10,男,1966,中國國民黨,5667,12.83%,*,是
林政良,1,男,1952,中國國民黨,11049,100.00%,*,是
林政賢,19,男,1959,中國國民黨,9118,5.06%,*,否
林春生,16,男,1951,中國國民黨,3249,6.92%,*,是
林炳利,4,男,1962,無黨籍及未經政黨推薦,13481,13.73%,*,是
林為洲,5,男,1961,中國國民黨,5636,8.08%,*,是
林盈徹,7,男,1980,民主進步黨,4158,11.17%,*,否
林美燕,3,女,1959,中國國民黨,13165,19.78%,*,是
林茂明,11,男,1958,無黨籍及未經政黨推薦,7312,4.44%,*,是
林郁虹,10,女,1962,中國國民黨,7731,7.36%,*,是
林哲凌,4,男,1963,民主進步黨,7262,12.61%,*,是
林孫全,5,男,1952,中國國民黨,1597,6.45%,*,是
林晉章,8,男,1949,中國國民黨,16832,8.96%,*,是
林耕仁,4,男,1960,中國國民黨,4813,12.93%,*,是
林參天,13,男,1958,無黨籍及未經政黨推薦,3196,7.14%,*,是
林國正,7,男,1966,中國國民黨,21074,10.76%,*,否
林國成,9,男,1957,親民黨,13125,6.63%,*,是
林國春,10,男,1968,中國國民黨,28193,10.29%,*,是
林深,9,男,1958,無黨籍及未經政黨推薦,5686,8.63%,*,是
林清都,11,男,1953,無黨籍及未經政黨推薦,9268,11.96%,*,是
林逢錦,2,男,1959,無黨籍及未經政黨推薦,6585,12.13%,*,否
林富寶,3,男,1955,民主進步黨,16253,22.40%,*,是
林智堅,16,男,1975,民主進步黨,4711,8.85%,*,否
林朝寶,10,男,1970,民主進步黨,6576,13.37%,*,否
林棋山,4,男,1951,中國國民黨,4981,20.82%,*,是
林琨富,4,男,1978,無黨籍及未經政黨推薦,5680,7.61%,*,否
林貽祥,2,男,1959,中國國民黨,526,14.03%,*,否
林滄喜,19,男,1947,無黨籍及未經政黨推薦,9803,6.63%,*,否
林瑞圖,5,男,1956,無黨籍及未經政黨推薦,20065,6.56%,*,是
林聖哲,8,男,1953,中國國民黨,10679,10.92%,*,是
林聖爵,11,男,1976,中國國民黨,8082,9.33%,*,否
林裔綺,4,女,1968,民主進步黨,15984,41.75%,*,否
林漢淇,10,男,1954,民主進步黨,4481,14.29%,*,是
林碧秀,10,女,1955,中國國民黨,13417,9.33%,*,否
林銘仁,2,男,1960,民主進步黨,21388,7.50%,*,是
林慶_,5,男,1958,無黨籍及未經政黨推薦,11671,9.15%,*,是
林慶鎮,1,男,1958,無黨籍及未經政黨推薦,7741,6.01%,*,否
林瑩蓉,2,女,1965,民主進步黨,27510,15.63%,*,是
林緗亭,7,女,1982,民主進步黨,12117,20.05%,*,否
林蔡_梅,2,女,1959,無黨籍及未經政黨推薦,8227,10.05%,*,否
林燕祝,9,女,1965,中國國民黨,13791,10.82%,*,是
林錫明,7,男,1954,無黨籍及未經政黨推薦,5017,10.46%,*,否
林寶珠,2,女,1951,中國國民黨,6905,9.49%,*,是
林寶瓶,8,男,1953,中國國民黨,5275,8.73%,*,是
林顯水,1,男,1959,中國國民黨,4026,16.16%,*,否
邱永_,8,男,1952,中國國民黨,4929,10.16%,*,是
邱名璋,17,男,1974,民主進步黨,6140,6.00%,*,是
邱佳亮,1,男,1968,無黨籍及未經政黨推薦,13664,50.52%,*,否
邱芳欽,9,男,1955,無黨籍及未經政黨推薦,4488,7.22%,*,是
邱俊憲,8,男,1982,民主進步黨,15192,13.87%,*,否
邱奕勝,1,男,1960,中國國民黨,14345,7.98%,*,否
邱秋琴,6,女,1958,無黨籍及未經政黨推薦,4976,8.34%,*,是
邱美玲,7,女,1971,中國國民黨,6683,11.52%,*,否
邱振瑋,1,男,1974,無黨籍及未經政黨推薦,7781,100.00%,*,是
邱素芬,25,女,1966,民主進步黨,8705,4.83%,*,否
邱素貞,4,女,1954,民主進步黨,17163,16.40%,*,是
邱烽堯,9,男,1973,中國國民黨,28764,13.98%,*,是
邱紹俊,2,男,1944,無黨籍及未經政黨推薦,7046,14.34%,*,是
邱莉莉,2,女,1962,民主進步黨,23403,64.60%,*,是
邱婷蔚,17,女,1980,民主進步黨,32511,11.15%,*,否
邱靖雅,13,女,1972,無黨籍及未經政黨推薦,11560,16.59%,*,否
邱嘉進,5,男,1977,民主進步黨,6229,26.04%,*,否
邱鎮軍,10,男,1971,無黨籍及未經政黨推薦,9583,12.72%,*,否
金中玉,3,男,1956,無黨籍及未經政黨推薦,28202,17.43%,*,是
侯清河,10,男,1948,中國國民黨,7127,11.57%,*,是
侯澄財,1,男,1944,民主進步黨,11606,34.45%,*,是
俞_發,9,男,1965,中國國民黨,5383,13.53%,*,否
_淑媚,9,女,1964,中國國民黨,11513,11.77%,*,是
姜梅紅,8,女,1951,無黨籍及未經政黨推薦,4335,7.93%,*,否
施乃如,3,女,1977,民主進步黨,5155,20.38%,*,否
施世明,2,男,1952,民主進步黨,4486,17.66%,*,是
施性鍾,4,男,1952,中國國民黨,12142,12.42%,*,否
施金樹,13,男,1958,民主進步黨,4126,9.79%,*,是
施慧萍,7,女,1974,中國國民黨,2524,5.99%,*,是
柯振杯,8,男,1960,中國國民黨,8037,10.25%,*,是
段緯宇,3,男,1955,親民黨,15950,11.09%,*,是
洪玉鳳,1,女,1949,中國國民黨,12820,35.39%,*,是
洪有仁,11,男,1960,無黨籍及未經政黨推薦,3960,6.14%,*,否
洪佳君,17,女,1977,中國國民黨,21934,7.69%,*,是
洪和_,3,男,1957,中國國民黨,8336,12.89%,*,是
洪宗楷,17,男,1979,民主進步黨,4638,10.36%,*,否
洪宗熠,7,男,1969,民主進步黨,12483,18.16%,*,是
洪明科,3,男,1971,無黨籍及未經政黨推薦,6102,7.43%,*,否
洪健益,13,男,1970,民主進步黨,20319,8.44%,*,是
洪森永,4,男,1965,民主進步黨,4621,11.61%,*,是
洪進南,4,男,1951,中國國民黨,11155,17.26%,*,是
洪慈綪,2,女,1970,無黨籍及未經政黨推薦,4468,56.66%,*,否
洪鴻斌,5,男,1969,中國國民黨,1777,40.45%,*,否
洪麗娜,3,女,1955,中國國民黨,8259,16.13%,*,是
洪麗萍,1,女,1968,中國國民黨,1041,23.70%,*,是
禹耀東,1,男,1958,中國國民黨,6103,8.10%,*,是
胡松榮,7,男,1946,中國國民黨,2422,7.73%,*,是
范曰富,2,男,1960,中國國民黨,7417,37.68%,*,否
范淞育,2,男,1961,民主進步黨,18450,23.95%,*,否
范綱祥,2,男,1966,民主進步黨,11943,6.63%,*,否
唐玉琴,8,女,1955,中國國民黨,6676,6.46%,*,是
唐碧娥,3,女,1960,民主進步黨,10436,16.38%,*,是
唐麗輝,19,女,1957,無黨籍及未經政黨推薦,1578,6.37%,*,是
孫素娥,15,女,1954,中國國民黨,5827,7.73%,*,是
孫鍚洲,3,男,1956,無黨籍及未經政黨推薦,6576,12.15%,*,是
徐世_,16,男,1976,無黨籍及未經政黨推薦,19037,7.90%,*,否
徐弘庭,13,男,1982,中國國民黨,15651,5.07%,*,否
徐玉樹,7,男,1964,中國國民黨,9218,17.16%,*,否
徐佳青,9,女,1967,民主進步黨,23040,7.67%,*,是
徐其萬,1,男,1958,中國國民黨,15045,36.64%,*,否
徐欣瑩,2,女,1972,中國國民黨,8117,13.28%,*,是
徐信芳,4,男,1948,中國國民黨,3560,14.07%,*,是
徐莉莉,5,女,1964,親民黨,3636,14.63%,*,否
徐雪玉,12,女,1961,中國國民黨,5303,10.94%,*,是
徐欽鴻,4,男,1956,無黨籍及未經政黨推薦,6306,24.58%,*,是
徐榮耀,4,男,1952,中國國民黨,9137,8.69%,*,是
涂春榮,7,男,1945,中國國民黨,4861,7.03%,*,否
秦鉦,3,男,1953,中國國民黨,5434,13.65%,*,是
秦慧珠,2,女,1955,中國國民黨,20632,8.57%,*,是
秦儷舫,18,女,1958,中國國民黨,17559,5.84%,*,是
翁水上,2,男,1955,無黨籍及未經政黨推薦,6693,11.62%,*,是
翁美春,2,女,1963,民主進步黨,20887,17.23%,*,是
翁瑞珠,8,女,1950,民主進步黨,23519,17.53%,*,是
翁麗吟,1,女,1957,中國國民黨,3303,53.95%,*,否
袁明星,20,男,1962,民主進步黨,9617,5.35%,*,否
高偉凱,12,男,1971,勞動黨,5827,8.36%,*,是
高基讚,10,男,1957,台灣團結聯盟,12769,10.58%,*,否
高敏慧,20,女,1966,民主進步黨,15855,5.56%,*,是
高閔琳,7,女,1982,民主進步黨,26600,19.83%,*,否
高嘉瑜,14,女,1980,民主進步黨,34117,15.58%,*,是
康裕成,15,女,1956,民主進步黨,17283,9.78%,*,是
張文瑞,1,男,1950,民主進步黨,20236,24.86%,*,是
張火爐,7,男,1958,民主進步黨,14664,20.49%,*,否
張世賢,2,男,1953,中國國民黨,16056,37.63%,*,是
張平原,4,男,1965,無黨籍及未經政黨推薦,5992,5.80%,*,否
張正治,14,男,1966,中國國民黨,4453,9.18%,*,是
張永江,1,男,1960,無黨籍及未經政黨推薦,490,60.56%,*,是
張永泉,2,男,1956,無黨籍及未經政黨推薦,9194,13.23%,*,是
張玉嬿,4,女,1981,民主進步黨,18186,19.12%,*,否
張立傑,4,男,1945,無黨籍及未經政黨推薦,15295,10.86%,*,否
張再興,14,男,1952,無黨籍及未經政黨推薦,2049,6.54%,*,否
張伯祿,3,男,1958,無黨籍及未經政黨推薦,14787,14.52%,*,是
張宏年,1,男,1952,中國國民黨,15990,22.82%,*,是
張宏陸,13,男,1972,民主進步黨,21066,7.69%,*,是
張志弘,1,男,1959,中國國民黨,4735,50.88%,*,是
張志宇,9,男,1976,中國國民黨,5500,7.30%,*,否
張志銘,9,男,1963,民主進步黨,4757,10.69%,*,否
張秀華,4,女,1957,中國國民黨,6028,7.51%,*,是
張卓然,1,男,1947,中國國民黨,5156,100.00%,*,是
張明華,1,男,1961,民主進步黨,4478,21.25%,*,否
張明達,3,男,1960,民主進步黨,14936,27.65%,*,是
張東正,10,男,1969,無黨籍及未經政黨推薦,8202,4.98%,*,是
張芬郁,6,女,1958,民主進步黨,16343,11.36%,*,否
張金文,17,男,1959,無黨籍及未經政黨推薦,6365,6.16%,*,是
張建榮,5,男,1947,中國國民黨,5314,11.08%,*,是
張春鳳,6,女,1954,無黨籍及未經政黨推薦,5387,13.91%,*,否
張秋明,4,男,1952,民主進步黨,4919,17.75%,*,是
張茂楠,15,男,1960,民主進步黨,21329,8.86%,*,是
張家靜,4,女,1959,中國國民黨,6911,25.75%,*,是
張峻,5,男,1974,中國國民黨,4503,9.29%,*,是
張晉婷,8,女,1969,台灣團結聯盟,26625,8.72%,*,是
張祖琰,8,女,1951,中國國民黨,5207,8.08%,*,是
張耿輝,9,男,1961,無黨籍及未經政黨推薦,4195,15.35%,*,是
張健福,5,男,1970,民主進步黨,6246,9.48%,*,否
張國洲,12,男,1957,中國國民黨,4868,10.86%,*,是
張敏琪,1,女,1973,中國國民黨,4628,7.18%,*,是
張清忠,1,男,1955,中國國民黨,2563,47.19%,*,否
張清堂,5,男,1962,無黨籍及未經政黨推薦,19528,15.52%,*,否
張清照,4,男,1963,中國國民黨,20098,15.44%,*,否
張雪如,9,女,1966,無黨籍及未經政黨推薦,8963,8.25%,*,是
張勝富,5,男,1972,民主進步黨,13755,12.56%,*,否
張智冠,4,男,1970,中國國民黨,4648,25.56%,*,否
張貴忠,7,男,1951,民主進步黨,3532,6.54%,*,否
張雅旻,1,女,1977,民主進步黨,19047,13.53%,*,否
張雲德,1,男,1953,中國國民黨,1628,9.98%,*,否
張滄沂,8,男,1959,無黨籍及未經政黨推薦,16061,11.17%,*,是
